annee,Item,surface_cultivee_ha,production_tonnes,yield_value,rendement_tonnes_ha,pluviometrie_mm,temperature_moyenne_c,humidite_pct,ph,azote_N,phosphore_P_mg_kg,potassium_K_mg_kg
2010,"Almonds, in shell",162550.0,52000.0,319.9,0.03199,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",12965.0,10029.3,773.6,0.07736,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Apples,26294.0,126000.0,4791.9,0.4791899999999999,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Apricots,5982.0,23500.0,3928.7,0.39287,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Artichokes,1800.0,14000.0,7777.8,0.77778,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Asparagus,,226.73,,,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Avocados,27.0,288.93,10528.0,1.0528,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Barley,184700.0,236900.0,1282.6,0.1282599999999999,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,"Beans, dry",175.0,140.0,800.0,0.08,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,"Beef and Buffalo Meat, primary",,55800.0,,,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,"Beer of barley, malted",,82602.01,,,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Beeswax,,62.0,,,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,"Broad beans and horse beans, dry",58700.0,47830.0,814.8,0.08148,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,"Broad beans and horse beans, green",9600.0,115000.0,11979.2,1.19792,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Butter and Ghee,,6241.98,,,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Butter and ghee of sheep milk,,345.0,,,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Butter of cow milk,,5896.98,,,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Cabbages,2277.0,26500.0,11636.3,1.16363,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
2010,Cantaloupes and other melons,9218.0,97670.04,10595.9,1.05959,,,,7.736923076923077,0.1107846153846153,33.30153846153846,228.51846153846157
