Annee,Delegation,Temperature_moy_ pendant_periode_plus_froide,Temperature_moy_ pendant_periode_plus_chaude,Difference,_source_dataset
2020,Siliana (N+ S),6 – 17,21 – 36,15 – 19,donnees-climatiques-gouvernorat-de-siliana
2020,Bouarada,,,,donnees-climatiques-gouvernorat-de-siliana
2020,Gaafour,,,,donnees-climatiques-gouvernorat-de-siliana
2020,El Krib,,,,donnees-climatiques-gouvernorat-de-siliana
2020,Bourouis,,,,donnees-climatiques-gouvernorat-de-siliana
2020,Makthar,,,,donnees-climatiques-gouvernorat-de-siliana
2020,Bargou,,,,donnees-climatiques-gouvernorat-de-siliana
2020,Kesra,,,,donnees-climatiques-gouvernorat-de-siliana
2020,Rouhia,,,,donnees-climatiques-gouvernorat-de-siliana
2021,Siliana (N+ S),6 – 17,21 – 36,15 – 19,donnees-climatiques-gouvernorat-de-siliana
2021,Bouarada,,,,donnees-climatiques-gouvernorat-de-siliana
2021,Gaafour,,,,donnees-climatiques-gouvernorat-de-siliana
2021,El Krib,,,,donnees-climatiques-gouvernorat-de-siliana
2021,Bourouis,,,,donnees-climatiques-gouvernorat-de-siliana
2021,Makthar,,,,donnees-climatiques-gouvernorat-de-siliana
2021,Bargou,,,,donnees-climatiques-gouvernorat-de-siliana
2021,Kesra,,,,donnees-climatiques-gouvernorat-de-siliana
2021,Rouhia,,,,donnees-climatiques-gouvernorat-de-siliana
2022,Siliana (N+ S),6 – 17,21 – 36,15 – 19,donnees-climatiques-gouvernorat-de-siliana
2022,Bouarada,,,,donnees-climatiques-gouvernorat-de-siliana
2022,Gaafour,,,,donnees-climatiques-gouvernorat-de-siliana
2022,El Krib,,,,donnees-climatiques-gouvernorat-de-siliana
2022,Bourouis,,,,donnees-climatiques-gouvernorat-de-siliana
2022,Makthar,,,,donnees-climatiques-gouvernorat-de-siliana
2022,Bargou,,,,donnees-climatiques-gouvernorat-de-siliana
2022,Kesra,,,,donnees-climatiques-gouvernorat-de-siliana
2022,Rouhia,,,,donnees-climatiques-gouvernorat-de-siliana
2023,Siliana (N+ S),6 – 17,21 – 36,15 – 19,donnees-climatiques-gouvernorat-de-siliana
2023,Bouarada,,,,donnees-climatiques-gouvernorat-de-siliana
2023,Gaafour,,,,donnees-climatiques-gouvernorat-de-siliana
2023,El Krib,,,,donnees-climatiques-gouvernorat-de-siliana
2023,Bourouis,,,,donnees-climatiques-gouvernorat-de-siliana
2023,Makthar,,,,donnees-climatiques-gouvernorat-de-siliana
2023,Bargou,,,,donnees-climatiques-gouvernorat-de-siliana
2023,Kesra,,,,donnees-climatiques-gouvernorat-de-siliana
2023,Rouhia,,,,donnees-climatiques-gouvernorat-de-siliana
2024,Siliana (N+ S),6 – 17,21 – 36,15 – 19,donnees-climatiques-gouvernorat-de-siliana
2024,Bouarada,,,,donnees-climatiques-gouvernorat-de-siliana
2024,Gaafour,,,,donnees-climatiques-gouvernorat-de-siliana
2024,El Krib,,,,donnees-climatiques-gouvernorat-de-siliana
2024,Bourouis,,,,donnees-climatiques-gouvernorat-de-siliana
2024,Makthar,,,,donnees-climatiques-gouvernorat-de-siliana
2024,Bargou,,,,donnees-climatiques-gouvernorat-de-siliana
2024,Kesra,,,,donnees-climatiques-gouvernorat-de-siliana
2024,Rouhia,,,,donnees-climatiques-gouvernorat-de-siliana
