annee,ble_dur,ble_tendre,orge,triticale,orge_et_triticale,_source_dataset,المعتمديـة,2013,2014,2015,2016,2017,2018,2019,2020,Evolution De Blé Dur,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
1988.0,167.0,53.0,,,67.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.0,333.0,87.0,,,215.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.0,897.0,224.0,,,511.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.0,1423.0,362.0,,,765.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.0,1323.0,261.0,,,611.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993.0,1133.0,279.0,,,501.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,436.0,66.0,,,151.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.0,472.0,58.0,,,89.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.0,1705.0,312.0,,,849.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.0,723.0,161.0,,,169.0,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
