annee,ble_dur,ble_tendre,orge,triticale,orge_et_triticale,_source_dataset
1988,167.0,53.0,,,67.0,evolution-de-la-production-nationale-des-cereales
1989,333.0,87.0,,,215.0,evolution-de-la-production-nationale-des-cereales
1990,897.0,224.0,,,511.0,evolution-de-la-production-nationale-des-cereales
1991,1423.0,362.0,,,765.0,evolution-de-la-production-nationale-des-cereales
1992,1323.0,261.0,,,611.0,evolution-de-la-production-nationale-des-cereales
1993,1133.0,279.0,,,501.0,evolution-de-la-production-nationale-des-cereales
1994,436.0,66.0,,,151.0,evolution-de-la-production-nationale-des-cereales
1995,472.0,58.0,,,89.0,evolution-de-la-production-nationale-des-cereales
1996,1705.0,312.0,,,849.0,evolution-de-la-production-nationale-des-cereales
1997,723.0,161.0,,,169.0,evolution-de-la-production-nationale-des-cereales
1998,1090.0,263.0,,,311.0,evolution-de-la-production-nationale-des-cereales
1999,1144.0,253.0,,,415.0,evolution-de-la-production-nationale-des-cereales
2000,706.0,135.0,,,245.0,evolution-de-la-production-nationale-des-cereales
2001,935.0,183.0,,,236.0,evolution-de-la-production-nationale-des-cereales
2002,370.0,51.0,,,91.0,evolution-de-la-production-nationale-des-cereales
2003,1646.0,337.0,,,920.0,evolution-de-la-production-nationale-des-cereales
2004,1396.0,236.0,,,625.0,evolution-de-la-production-nationale-des-cereales
2005,1290.0,336.0,,,470.0,evolution-de-la-production-nationale-des-cereales
2006,1026.0,224.0,,,359.0,evolution-de-la-production-nationale-des-cereales
2007,1175.0,267.0,,,545.0,evolution-de-la-production-nationale-des-cereales
2008,730.9,188.0,253.9,15.2,,evolution-de-la-production-nationale-des-cereales
2009,1353.6,300.1,854.9,25.0,,evolution-de-la-production-nationale-des-cereales
2010,670.7,151.2,236.9,20.8,,evolution-de-la-production-nationale-des-cereales
2011,1321.2,284.2,680.8,24.1,,evolution-de-la-production-nationale-des-cereales
2012,1239.5,283.6,723.6,26.1,,evolution-de-la-production-nationale-des-cereales
2013,794.5,180.8,289.1,30.7,,evolution-de-la-production-nationale-des-cereales
2014,1231.0,282.0,772.5,31.6,,evolution-de-la-production-nationale-des-cereales
2015,757.6,154.7,364.3,31.1,,evolution-de-la-production-nationale-des-cereales
2016,812.0,114.6,327.6,33.6,,evolution-de-la-production-nationale-des-cereales
2017,950.9,153.4,478.0,21.6,,evolution-de-la-production-nationale-des-cereales
2018,962.4,113.0,315.6,19.0,,evolution-de-la-production-nationale-des-cereales
2019,1267.0,187.7,912.37,31.0,,evolution-de-la-production-nationale-des-cereales
2020,958.5,84.1,465.0,26.0,,evolution-de-la-production-nationale-des-cereales
