المعتمديـة,2013,2014,2015,2016,2017,2018,2019,2020,_source_dataset
القيروان الشمالية,51940.0,142960.0,350400.0,72650.0,94530.0,67760.0,63800.0,71950,evolution-de-la-production-vegetale
القيروان الجنوبية,135520.0,258865.0,202600.0,159950.0,216020.0,222125.0,266350.0,350400,evolution-de-la-production-vegetale
السبيخة,175650.0,891325.0,265250.0,173155.0,360440.0,241363.0,345834.0,265250,evolution-de-la-production-vegetale
الوسلاتية,52320.0,288450.0,34800.0,38870.0,56260.0,4060.0,208560.0,34800,evolution-de-la-production-vegetale
الشبيكة,143820.0,290280.0,1800.0,160350.0,238640.0,199900.0,108280.0,202600,evolution-de-la-production-vegetale
حفوز,1860.0,78170.0,0.0,1875.0,25715.0,1600.0,4925.0,1800,evolution-de-la-production-vegetale
العلا,110.0,50880.0,4400.0,400.0,32900.0,0.0,9000.0,0,evolution-de-la-production-vegetale
حاجب العيون,4640.0,44800.0,0.0,3800.0,27860.0,3760.0,6440.0,4400,evolution-de-la-production-vegetale
عين جلولة,,,,,,,,0,evolution-de-la-production-vegetale
نصرالله,84400.0,181010.0,17900.0,92550.0,34919.0,16920.0,9000.0,8400,evolution-de-la-production-vegetale
منزل المهيري,,,,,,,16230.0,17900,evolution-de-la-production-vegetale
بوحجلة,91340.0,243320.0,98700.0,102960.0,114500.0,104550.0,112620.0,98700,evolution-de-la-production-vegetale
الشراردة,6340.0,42340.0,1062750.0,3510.0,3270.0,3500.0,9900.0,6550,evolution-de-la-production-vegetale
مجموع الولاية,747940.0,2512400.0,2038600.0,810070.0,1205054.0,865538.0,1160939.0,1062750,evolution-de-la-production-vegetale
