annee,Item,surface_cultivee_ha,production_tonnes,yield_value,rendement_tonnes_ha,pluviometrie_mm,temperature_moyenne_c,humidite_pct,ph,azote_N,phosphore_P_mg_kg,potassium_K_mg_kg
1961,"Almonds, in shell",85000.0,5800.0,68.2,0.0068200000000000005,,,,,,,
1961,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,5000.0,,,,,,,,,
1961,Apples,1600.0,7100.0,4437.5,0.44375,,,,,,,
1961,Apricots,12000.0,11600.0,966.7,0.09667,,,,,,,
1961,Artichokes,1900.0,11400.0,6000.0,0.6,,,,,,,
1961,Asparagus,,0.0,,,,,,,,,
1961,Barley,200000.0,70000.0,350.0,0.035,,,,,,,
1961,"Beans, dry",0.0,0.0,,,,,,,,,
1961,"Beef and Buffalo Meat, primary",,15400.0,,,,,,,,,
1961,"Beer of barley, malted",,37601.2,,,,,,,,,
1961,Beeswax,,70.0,,,,,,,,,
1961,"Broad beans and horse beans, dry",28800.0,6500.0,225.7,0.02257,,,,,,,
1961,"Broad beans and horse beans, green",1700.0,5000.0,2941.2,0.29412,,,,,,,
1961,Butter and Ghee,,951.0,,,,,,,,,
1961,Butter and ghee of sheep milk,,150.0,,,,,,,,,
1961,Butter of cow milk,,801.0,,,,,,,,,
1961,Cabbages,210.0,3550.0,16904.8,1.69048,,,,,,,
1961,Cantaloupes and other melons,1870.0,28000.0,14973.3,1.4973299999999998,,,,,,,
1961,Carrots and turnips,3800.0,23000.0,6052.6,0.60526,,,,,,,
1961,"Cattle fat, unrendered",,266.54,,,,,,,,,
1961,Cauliflowers and broccoli,100.0,2100.0,21000.0,2.1,,,,,,,
1961,Cereals n.e.c.,40000.0,20000.0,500.0,0.05,,,,,,,
1961,"Cereals, primary",1125063.0,561618.0,499.2,0.04992,,,,,,,
1961,Cheese (All Kinds),,1330.0,,,,,,,,,
1961,"Cheese from milk of goats, fresh or processed",,1000.0,,,,,,,,,
1961,Cheese from whole cow milk,,330.0,,,,,,,,,
1961,"Chick peas, dry",21000.0,6400.0,304.8,0.03048,,,,,,,
1961,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,4500.0,,,,,,,,,
1961,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",7000.0,45500.0,6500.0,0.65,,,,,,,
1961,"Citrus Fruit, Total",0.0,92500.0,,,,,,,,,
1961,"Cotton lint, ginned",,218.0,,,,,,,,,
1961,Cotton seed,,435.0,,,,,,,,,
1961,Cranberries,,0.0,,,,,,,,,
1961,Cucumbers and gherkins,300.0,3000.0,10000.0,1.0,,,,,,,
1961,Dates,10000.0,36300.0,3630.0,0.363,,,,,,,
1961,"Edible offal of cattle, fresh, chilled or frozen",,2310.0,,,,,,,,,
1961,"Edible offal of goat, fresh, chilled or frozen",,282.86,,,,,,,,,
1961,"Edible offal of pigs, fresh, chilled or frozen",,1.6,,,,,,,,,
1961,"Edible offal of sheep, fresh, chilled or frozen",,3533.88,,,,,,,,,
1961,"Edible offals of camels and other camelids, fresh, chilled or frozen",,233.51,,,,,,,,,
1961,"Edible offals of horses and other equines, fresh, chilled or frozen",,84.46,,,,,,,,,
1961,Eggplants (aubergines),0.0,0.0,,,,,,,,,
1961,Eggs Primary,,6500.0,,,,,,,,,
1961,Fat of camels,,149.19,,,,,,,,,
1961,Fat of pigs,,6.88,,,,,,,,,
1961,"Fibre Crops, Fibre Equivalent",650.0,228.55,351.6,0.035160000000000004,,,,,,,
1961,Figs,24000.0,24000.0,1000.0,0.1,,,,,,,
1961,Fruit Primary,113871.0,585850.0,5144.9,0.51449,,,,,,,
