Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element,Element,Year,Year,Unit,Value,Flag,Note
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1961,1961,ha,85000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1962,1962,ha,98000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1963,1963,ha,85000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1964,1964,ha,120000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1965,1965,ha,120000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1966,1966,ha,140000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1967,1967,ha,110000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1968,1968,ha,180000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1969,1969,ha,100000.0,E,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1970,1970,ha,186500.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1971,1971,ha,188000.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1972,1972,ha,190000.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1973,1973,ha,192000.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1974,1974,ha,194700.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1975,1975,ha,198822.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1976,1976,ha,203000.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1977,1977,ha,204620.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1978,1978,ha,206000.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1979,1979,ha,209000.0,A,
222,'788,Tunisia,221,'01371,"Almonds, in shell",5312,Area harvested,1980,1980,ha,155000.0,X,Unofficial figure
